epoch, time, loss1, loss2, loss3, loss4, total_loss
0, 0.255, 0.5022358894, 0.0000420174, 0.0007598018, 0.3732014000, 0.5030376911
1, 0.578, 0.4787951112, 0.0002106696, 0.0085142115, 0.3625821769, 0.4875200093
2, 0.848, 0.4354056716, 0.0018146612, 0.0055362349, 0.3632377088, 0.4427565634
3, 1.118, 0.3530491889, 0.0038592326, 0.0051760674, 0.3579272628, 0.3620844781
4, 1.325, 0.3080488741, 0.0055101831, 0.0041651302, 0.3462923765, 0.3177241981
5, 1.546, 0.3094393313, 0.0062914542, 0.0028345024, 0.3513615429, 0.3185652792
6, 1.766, 0.2748023868, 0.0070004570, 0.0021238271, 0.3427225351, 0.2839266658
7, 1.992, 0.2752992809, 0.0067147436, 0.0010278198, 0.3416320682, 0.2830418348
8, 2.167, 0.2255485058, 0.0046590394, 0.0003095006, 0.3407225609, 0.2305170447
9, 2.332, 0.1717272401, 0.0050385161, 0.0002187407, 0.3317635655, 0.1769844890
10, 2.511, 0.1768050343, 0.0061659361, 0.0002637387, 0.3353536725, 0.1832347065
11, 2.694, 0.1591390371, 0.0071546189, 0.0005292748, 0.3358429074, 0.1668229252
12, 2.888, 0.1452181190, 0.0074946666, 0.0004475178, 0.3321958780, 0.1531603038
13, 3.074, 0.1626459807, 0.0072929193, 0.0002265913, 0.3360653818, 0.1701654941
14, 3.260, 0.1350902170, 0.0071553919, 0.0002588796, 0.3306694329, 0.1425044835
15, 3.465, 0.1266158074, 0.0073847012, 0.0002559095, 0.3315197527, 0.1342564225
16, 3.640, 0.1143243164, 0.0078351339, 0.0001973664, 0.3277806640, 0.1223568171
17, 3.923, 0.1266871989, 0.0082266703, 0.0001456252, 0.3302832544, 0.1350594908
18, 4.123, 0.1164178997, 0.0085965265, 0.0001449627, 0.3294782937, 0.1251593828
19, 4.346, 0.1068802029, 0.0088032233, 0.0001409749, 0.3279368281, 0.1158244014
20, 4.557, 0.1176767945, 0.0088383434, 0.0001099332, 0.3309050500, 0.1266250610
21, 4.775, 0.0998997241, 0.0087889442, 0.0001013426, 0.3277115822, 0.1087900102
22, 4.977, 0.0985052288, 0.0086493464, 0.0000985232, 0.3271315396, 0.1072531044
23, 5.151, 0.0981573388, 0.0084853582, 0.0000918812, 0.3261928558, 0.1067345738
24, 5.312, 0.0885106102, 0.0084775668, 0.0000770548, 0.3274409175, 0.0970652327
25, 5.478, 0.0891668946, 0.0084752906, 0.0000687929, 0.3265976608, 0.0977109745
26, 5.647, 0.0835676864, 0.0084372098, 0.0000570737, 0.3229367733, 0.0920619667
27, 5.819, 0.0877912119, 0.0083583351, 0.0000480791, 0.3272882402, 0.0961976275
28, 5.985, 0.0900942609, 0.0082817376, 0.0000507885, 0.3268423975, 0.0984267890
29, 6.148, 0.0880478546, 0.0081567476, 0.0000467955, 0.3278488517, 0.0962513983
30, 6.320, 0.0877616554, 0.0079975985, 0.0000401419, 0.3261574209, 0.0957994014
31, 6.514, 0.0829194039, 0.0078722350, 0.0000398293, 0.3269556463, 0.0908314735
32, 6.682, 0.0809077099, 0.0076848292, 0.0000367856, 0.3286068141, 0.0886293203
33, 6.856, 0.0900208578, 0.0075457031, 0.0000313610, 0.3277725875, 0.0975979194
34, 7.032, 0.0818229914, 0.0075653279, 0.0000419674, 0.3256767094, 0.0894302875
35, 7.198, 0.0831247121, 0.0075155264, 0.0000516911, 0.3279275596, 0.0906919315
36, 7.399, 0.0788149983, 0.0076524103, 0.0000725504, 0.3282326758, 0.0865399614
37, 7.595, 0.0735032558, 0.0078758914, 0.0000762519, 0.3265296221, 0.0814553946
38, 7.759, 0.0729398727, 0.0079972530, 0.0000703212, 0.3257075846, 0.0810074434
39, 7.943, 0.0752520263, 0.0079808850, 0.0000682733, 0.3215691447, 0.0833011791
40, 8.190, 0.0743560642, 0.0078722928, 0.0000696073, 0.3270744979, 0.0822979659
41, 8.452, 0.0690063089, 0.0075452812, 0.0000635491, 0.3264684677, 0.0766151324
42, 8.668, 0.0698140487, 0.0070746629, 0.0000619668, 0.3273836374, 0.0769506767
43, 8.879, 0.0668515861, 0.0068337279, 0.0000451036, 0.3262422979, 0.0737304166
44, 9.146, 0.0784832686, 0.0067716599, 0.0000443600, 0.3293046057, 0.0852992907
45, 9.396, 0.0685072169, 0.0068418263, 0.0000577640, 0.3263309300, 0.0754068047
46, 9.617, 0.0650450066, 0.0070949290, 0.0000632548, 0.3246963918, 0.0722031891
47, 9.872, 0.0679811239, 0.0074294242, 0.0000546455, 0.3247319758, 0.0754651874
48, 10.089, 0.0609725975, 0.0076195695, 0.0000638876, 0.3235690594, 0.0686560571
