epoch, time, loss1, loss2, loss3, loss4, total_loss
0, 0.235, 0.8455237746, 0.0000420174, 0.0007598018, 0.4294143021, 0.8463255763
1, 0.506, 0.7291739583, 0.0000670452, 0.0066439151, 0.4227117896, 0.7358849049
2, 0.665, 0.6723726392, 0.0013547182, 0.0081266593, 0.4137997031, 0.6818540096
3, 0.780, 0.5598742366, 0.0036851547, 0.0103231603, 0.4074301422, 0.5738825798
4, 0.898, 0.4943078160, 0.0059376252, 0.0116387112, 0.4078326225, 0.5118841529
5, 1.037, 0.5348781943, 0.0075571891, 0.0119965533, 0.4162953198, 0.5544319749
6, 1.174, 0.4732038677, 0.0073437374, 0.0105299195, 0.4075088203, 0.4910775125
7, 1.317, 0.4552423954, 0.0082551278, 0.0108097559, 0.4245795012, 0.4743072689
8, 1.439, 0.4450458586, 0.0094395978, 0.0112170456, 0.4211177528, 0.4657025039
9, 1.599, 0.3959630728, 0.0092593040, 0.0088654635, 0.4063820243, 0.4140878618
10, 1.769, 0.3651764095, 0.0089009153, 0.0065853735, 0.4035198987, 0.3806626797
11, 1.927, 0.3246238232, 0.0095401313, 0.0061219158, 0.3956405520, 0.3402858675
12, 2.099, 0.3190041184, 0.0101129264, 0.0056360541, 0.3889735937, 0.3347531259
13, 2.219, 0.3137934804, 0.0103717232, 0.0043892241, 0.3858059943, 0.3285544217
14, 2.356, 0.3320833445, 0.0105622988, 0.0034293926, 0.3954085112, 0.3460750282
15, 2.473, 0.2977873385, 0.0115365200, 0.0037747885, 0.3793865442, 0.3130986392
16, 2.597, 0.2614826858, 0.0121579356, 0.0040878039, 0.3823383451, 0.2777284384
17, 2.709, 0.2483852953, 0.0121896584, 0.0038054101, 0.3771839738, 0.2643803656
18, 2.820, 0.2598130107, 0.0117965946, 0.0030920394, 0.3823838830, 0.2747016549
19, 2.934, 0.2435125113, 0.0123232137, 0.0029290845, 0.3836596906, 0.2587648034
20, 3.099, 0.2322839499, 0.0131979343, 0.0029847082, 0.3916728795, 0.2484665811
21, 3.230, 0.2233557403, 0.0139694121, 0.0033082394, 0.3864238262, 0.2406333834
22, 3.386, 0.2094361186, 0.0139842164, 0.0033769335, 0.3908944130, 0.2267972678
23, 3.500, 0.2013234347, 0.0141759533, 0.0036997332, 0.3906453550, 0.2191991210
24, 3.624, 0.1936699748, 0.0145436442, 0.0036647525, 0.3923681080, 0.2118783593
25, 3.745, 0.1954140663, 0.0150033105, 0.0035935817, 0.3884532452, 0.2140109539
26, 3.858, 0.1830823869, 0.0154948225, 0.0035731054, 0.3850532174, 0.2021503150
27, 4.005, 0.1774244010, 0.0158182532, 0.0035612469, 0.3952825367, 0.1968038976
28, 4.132, 0.1608887017, 0.0159603097, 0.0032523077, 0.3821874857, 0.1801013201
29, 4.255, 0.1588325799, 0.0161975604, 0.0035358346, 0.3903545439, 0.1785659790
30, 4.377, 0.1643844545, 0.0161137413, 0.0029478942, 0.3883511722, 0.1834460944
31, 4.532, 0.1379832625, 0.0163205676, 0.0031206652, 0.3874112368, 0.1574244946
32, 4.653, 0.1420754790, 0.0162985642, 0.0027674329, 0.3861464560, 0.1611414701
33, 4.806, 0.1342230588, 0.0163012873, 0.0023573413, 0.3774710000, 0.1528816819
34, 4.919, 0.1331347376, 0.0166071001, 0.0022964019, 0.3859963119, 0.1520382464
35, 5.057, 0.1291486323, 0.0169925727, 0.0023106886, 0.3908887506, 0.1484518945
36, 5.210, 0.1292329580, 0.0171377081, 0.0019540761, 0.3978631496, 0.1483247429
37, 5.327, 0.1319236010, 0.0173950158, 0.0019984134, 0.4013511240, 0.1513170302
38, 5.441, 0.1127018034, 0.0178306196, 0.0022983111, 0.3843596578, 0.1328307390
39, 5.583, 0.1268441528, 0.0181036852, 0.0025138888, 0.3933004141, 0.1474617273
40, 5.701, 0.1084156483, 0.0183243733, 0.0025053611, 0.3816944361, 0.1292453855
41, 5.827, 0.1140696630, 0.0183723141, 0.0024215234, 0.3911213577, 0.1348635107
42, 5.948, 0.1072891131, 0.0181003436, 0.0020414656, 0.3815214336, 0.1274309158
43, 6.094, 0.0986295864, 0.0176719874, 0.0019844582, 0.3834594488, 0.1182860285
44, 6.226, 0.1044375896, 0.0174743086, 0.0020644795, 0.3793955445, 0.1239763796
45, 6.358, 0.1014957651, 0.0172025431, 0.0018835060, 0.3822434843, 0.1205818132
46, 6.493, 0.1019063070, 0.0176496636, 0.0018349554, 0.3903054297, 0.1213909313
47, 6.704, 0.0910936892, 0.0181328561, 0.0018103464, 0.3887876570, 0.1110368967
48, 6.843, 0.0963346884, 0.0183018986, 0.0017587222, 0.3890173435, 0.1163953096
49, 6.974, 0.0948055387, 0.0182678718, 0.0017669667, 0.3794456720, 0.1148403734
50, 7.112, 0.0902484953, 0.0184323341, 0.0019119501, 0.3825741708, 0.1105927825
51, 7.234, 0.0881608948, 0.0176453255, 0.0017663263, 0.3932549953, 0.1075725406
52, 7.393, 0.0896964744, 0.0164704919, 0.0014665277, 0.3930764794, 0.1076334938
53, 7.538, 0.0872011781, 0.0159459710, 0.0012568393, 0.3905324936, 0.1044039875
54, 7.662, 0.0822210163, 0.0159498006, 0.0011519438, 0.3912761211, 0.0993227586
55, 7.790, 0.0871144310, 0.0163170304, 0.0011589618, 0.3854957521, 0.1045904234
56, 7.924, 0.0815811008, 0.0171336979, 0.0013496788, 0.3902884722, 0.1000644788
57, 8.045, 0.0827849507, 0.0170323737, 0.0012911073, 0.3902634978, 0.1011084244
58, 8.175, 0.0832590535, 0.0164951645, 0.0011123163, 0.3832936287, 0.1008665338
59, 8.298, 0.0778715909, 0.0162186790, 0.0010279461, 0.3854120970, 0.0951182172
60, 8.437, 0.0749774352, 0.0160418935, 0.0009822887, 0.3791327775, 0.0920016244
61, 8.582, 0.0745575875, 0.0162453707, 0.0010231868, 0.3857218325, 0.0918261483
62, 8.710, 0.0744335949, 0.0163065623, 0.0010544658, 0.3908027709, 0.0917946249
63, 8.833, 0.0788010880, 0.0158541147, 0.0009652583, 0.3844264746, 0.0956204608
64, 8.955, 0.0760467649, 0.0155709358, 0.0009254582, 0.3915255368, 0.0925431624
65, 9.082, 0.0676048100, 0.0153732318, 0.0008816809, 0.3841139972, 0.0838597193
66, 9.252, 0.0814468935, 0.0150083750, 0.0008170044, 0.3899310529, 0.0972722694
67, 9.388, 0.0740613118, 0.0147076976, 0.0007581871, 0.3881555796, 0.0895271972
68, 9.519, 0.0717763826, 0.0147921359, 0.0007270080, 0.3926303089, 0.0872955248
69, 9.648, 0.0725256950, 0.0152120460, 0.0007865232, 0.3951391280, 0.0885242596
70, 9.790, 0.0769975185, 0.0156789683, 0.0008258498, 0.3975866735, 0.0935023427
71, 9.926, 0.0681677982, 0.0163282957, 0.0008891571, 0.3900912404, 0.0853852555
72, 10.062, 0.0748510957, 0.0155820791, 0.0007554339, 0.3941798508, 0.0911886096
73, 10.192, 0.0726434290, 0.0147690037, 0.0006355753, 0.3836103976, 0.0880480036
74, 10.349, 0.0728674084, 0.0149025060, 0.0006554444, 0.3952525258, 0.0884253532
75, 10.499, 0.0669264346, 0.0150394794, 0.0006354901, 0.3959558606, 0.0826014057
76, 10.635, 0.0653990880, 0.0150185470, 0.0006183963, 0.3903595805, 0.0810360312
77, 10.780, 0.0677006319, 0.0146679534, 0.0005888209, 0.3908023238, 0.0829574019
78, 10.916, 0.0656963512, 0.0139458477, 0.0004701514, 0.3893380761, 0.0801123530
79, 11.085, 0.0635244921, 0.0137354201, 0.0004091259, 0.3869940341, 0.0776690394
80, 11.245, 0.0610215031, 0.0139296427, 0.0004044962, 0.3910493553, 0.0753556415
81, 11.436, 0.0614445023, 0.0143290395, 0.0004478353, 0.3868338168, 0.0762213767
82, 11.558, 0.0574612357, 0.0145736663, 0.0004681247, 0.3846507967, 0.0725030303
83, 11.676, 0.0645031258, 0.0143358894, 0.0004285124, 0.3886812627, 0.0792675316
84, 11.826, 0.0615941286, 0.0137387831, 0.0004251922, 0.3894140720, 0.0757580996
85, 11.969, 0.0648116991, 0.0136522157, 0.0004062473, 0.3917739987, 0.0788701624
86, 12.092, 0.0577973090, 0.0136960149, 0.0003781772, 0.3898748457, 0.0718715042
87, 12.228, 0.0615319051, 0.0138178458, 0.0003832945, 0.3861104548, 0.0757330433
88, 12.369, 0.0612362660, 0.0142535185, 0.0004130148, 0.3905771077, 0.0759027973
89, 12.504, 0.0569251999, 0.0143654402, 0.0003923198, 0.3835495114, 0.0716829598
90, 12.666, 0.0625187308, 0.0138794659, 0.0003509267, 0.3921587765, 0.0767491236
91, 12.801, 0.0605881400, 0.0138629572, 0.0003165946, 0.3953203857, 0.0747676939
92, 12.927, 0.0563104004, 0.0137750460, 0.0002998135, 0.3866022229, 0.0703852549
93, 13.058, 0.0593119934, 0.0135131823, 0.0003038543, 0.3995291293, 0.0731290355
94, 13.181, 0.0577499904, 0.0132676493, 0.0002716122, 0.3919990063, 0.0712892488
95, 13.307, 0.0568859279, 0.0136855701, 0.0002303591, 0.3900046647, 0.0708018541
96, 13.432, 0.0586683899, 0.0146955019, 0.0003091899, 0.3933431804, 0.0736730844
97, 13.570, 0.0582836382, 0.0152298287, 0.0004134755, 0.3907720745, 0.0739269406
98, 13.737, 0.0558034480, 0.0142196966, 0.0003287519, 0.3897745609, 0.0703518912
99, 13.889, 0.0581623577, 0.0132888500, 0.0002778932, 0.3842585385, 0.0717291012
100, 14.011, 0.0550813824, 0.0134778237, 0.0002899723, 0.3901765645, 0.0688491762
101, 14.138, 0.0529849827, 0.0134672467, 0.0002682547, 0.3835702240, 0.0667204857
102, 14.275, 0.0525498427, 0.0136363925, 0.0002786019, 0.3934593499, 0.0664648339
103, 14.400, 0.0522127450, 0.0144027006, 0.0002246367, 0.3844640553, 0.0668400824
104, 14.548, 0.0512259156, 0.0147105129, 0.0002521364, 0.3917397559, 0.0661885664
105, 14.688, 0.0525599681, 0.0142907137, 0.0002396405, 0.3891333640, 0.0670903251
106, 14.816, 0.0526179746, 0.0132589629, 0.0001872935, 0.3886161447, 0.0660642311
107, 14.948, 0.0535764620, 0.0130670508, 0.0001681683, 0.3857520819, 0.0668116808
108, 15.099, 0.0520746149, 0.0132606449, 0.0001712194, 0.3891898692, 0.0655064806
109, 15.232, 0.0501462445, 0.0133987367, 0.0001464195, 0.3836775720, 0.0636914000
110, 15.363, 0.0500145927, 0.0135598909, 0.0001328934, 0.3864070475, 0.0637073815
111, 15.492, 0.0484958179, 0.0140694743, 0.0001515308, 0.3874113560, 0.0627168193
112, 15.621, 0.0492358878, 0.0143246697, 0.0001622737, 0.3830327988, 0.0637228340
113, 15.770, 0.0502791218, 0.0138889253, 0.0001471348, 0.3952509761, 0.0643151850
114, 15.945, 0.0478222966, 0.0132391825, 0.0001183840, 0.3866284788, 0.0611798614
115, 16.107, 0.0452271253, 0.0131476922, 0.0001145976, 0.3887515068, 0.0584894158
116, 16.271, 0.0482604988, 0.0131765166, 0.0001098674, 0.3936724067, 0.0615468808
117, 16.437, 0.0489095114, 0.0132658072, 0.0000995734, 0.3977633417, 0.0622748919
118, 16.587, 0.0466963276, 0.0131855216, 0.0000874858, 0.3864927292, 0.0599693358
119, 16.723, 0.0463831536, 0.0131146898, 0.0000971208, 0.3934917450, 0.0595949665
120, 16.855, 0.0439331979, 0.0133650955, 0.0000896417, 0.3891844451, 0.0573879369
121, 17.009, 0.0456590578, 0.0134379948, 0.0000841023, 0.3926733732, 0.0591811538
122, 17.165, 0.0459248312, 0.0134085333, 0.0000840365, 0.3921068907, 0.0594174005
123, 17.316, 0.0454640836, 0.0131384339, 0.0000699041, 0.3922653198, 0.0586724244
124, 17.447, 0.0435700044, 0.0130102737, 0.0000873916, 0.3876948357, 0.0566676706
125, 17.585, 0.0454614125, 0.0129368668, 0.0000706376, 0.3941882849, 0.0584689192
126, 17.733, 0.0432104766, 0.0128920758, 0.0000700204, 0.3831821978, 0.0561725721
127, 17.880, 0.0451678969, 0.0131782657, 0.0000738624, 0.3879352510, 0.0584200248
128, 18.052, 0.0457118489, 0.0132956030, 0.0000654635, 0.3929763734, 0.0590729155
