epoch, time, loss1, loss2, loss3, loss4, total_loss
0, 0.189, 0.7952727079, 0.0000420174, 0.0007598018, 0.4494682848, 0.7960745096
1, 0.449, 0.6708940864, 0.0001048473, 0.0065221335, 0.3858101368, 0.6775210500
2, 0.585, 0.6443372965, 0.0015545769, 0.0085335178, 0.4005094469, 0.6544253826
3, 0.704, 0.5534358025, 0.0035881330, 0.0105807958, 0.3896926939, 0.5676047206
4, 0.823, 0.5844645500, 0.0037476621, 0.0086117573, 0.3974263966, 0.5968239307
5, 0.969, 0.5106433034, 0.0033746120, 0.0074848835, 0.3840132356, 0.5215028524
6, 1.077, 0.5071010590, 0.0036079672, 0.0076260245, 0.3800509870, 0.5183350444
7, 1.204, 0.4585266709, 0.0042741415, 0.0072176829, 0.3724962473, 0.4700184762
8, 1.310, 0.4294779599, 0.0047240648, 0.0053415457, 0.3712570369, 0.4395435750
9, 1.439, 0.3698340058, 0.0048923963, 0.0030973859, 0.3661573529, 0.3778237998
10, 1.596, 0.3753061891, 0.0048422134, 0.0014521023, 0.3761629462, 0.3816004992
11, 1.713, 0.3405191898, 0.0052377610, 0.0009547936, 0.3818323016, 0.3467117548
12, 1.835, 0.2956635654, 0.0059975120, 0.0009051033, 0.3756670654, 0.3025661707
13, 1.976, 0.2671715915, 0.0068061501, 0.0010001346, 0.3797232509, 0.2749778926
14, 2.086, 0.2853316963, 0.0076667746, 0.0011884043, 0.3930176198, 0.2941868603
15, 2.214, 0.2575288713, 0.0085913176, 0.0013980063, 0.3782102466, 0.2675181925
16, 2.338, 0.2469754815, 0.0093804337, 0.0015448101, 0.3819198310, 0.2579007149
17, 2.449, 0.2190792114, 0.0101874126, 0.0017938913, 0.3821506202, 0.2310605198
18, 2.573, 0.2171920091, 0.0108651239, 0.0019272622, 0.3885224462, 0.2299843878
19, 2.726, 0.2274637371, 0.0113567775, 0.0018692286, 0.3815205693, 0.2406897396
20, 2.862, 0.2089152485, 0.0118323863, 0.0019395474, 0.3860004246, 0.2226871848
21, 3.008, 0.1789394021, 0.0122342492, 0.0019776304, 0.3820324838, 0.1931512952
22, 3.161, 0.1960884333, 0.0125842514, 0.0019416424, 0.3951584995, 0.2106143236
23, 3.288, 0.1897804737, 0.0128743593, 0.0018735436, 0.3853236437, 0.2045283765
24, 3.420, 0.1815860420, 0.0130498996, 0.0017962644, 0.3755224049, 0.1964322031
25, 3.561, 0.1854116023, 0.0131409811, 0.0017145822, 0.3819902539, 0.2002671659
26, 3.724, 0.1538768411, 0.0133774243, 0.0017044269, 0.3796856999, 0.1689586937
27, 3.839, 0.1522081345, 0.0133655537, 0.0015503276, 0.3774467111, 0.1671240181
28, 3.971, 0.1583757401, 0.0133505501, 0.0013957142, 0.3831115067, 0.1731220037
29, 4.093, 0.1755751371, 0.0134171806, 0.0012692928, 0.3898840845, 0.1902616173
30, 4.215, 0.1522296220, 0.0134601016, 0.0011340023, 0.3849129677, 0.1668237299
31, 4.343, 0.1490813196, 0.0136054195, 0.0010607371, 0.3786474168, 0.1637474746
32, 4.467, 0.1337744594, 0.0136490148, 0.0010013189, 0.3715373874, 0.1484247893
33, 4.581, 0.1452912092, 0.0137011483, 0.0009233626, 0.3824892342, 0.1599157155
34, 4.730, 0.1549822986, 0.0138147147, 0.0008568706, 0.3852501810, 0.1696538925
