epoch, time, loss1, loss2, loss3, loss4, total_loss
0, 1.769, 0.9729918838, 0.0000420174, 0.0007598018, 0.4419731796, 1.4157668352
1, 2.410, 0.7337709665, 0.0001904106, 0.0069530392, 0.3978472948, 1.1387617588
2, 2.578, 0.5635977387, 0.0028431704, 0.0099261673, 0.3812823892, 0.9576494098
3, 2.752, 0.5172690749, 0.0054817237, 0.0116308834, 0.3759668171, 0.9103485346
4, 2.900, 0.4902406037, 0.0076147220, 0.0126520256, 0.3580411077, 0.8685484529
5, 3.054, 0.4276775122, 0.0092240842, 0.0122702373, 0.3509021401, 0.8000739813
6, 3.257, 0.4298229814, 0.0107103772, 0.0113572758, 0.3474997580, 0.7993904352
7, 3.432, 0.3455283046, 0.0118842078, 0.0102185979, 0.3353214860, 0.7029526234
8, 3.602, 0.3407426775, 0.0126992194, 0.0087660439, 0.3330012560, 0.6952092052
9, 3.762, 0.3408570290, 0.0132422736, 0.0078484016, 0.3403600752, 0.7023078203
10, 3.906, 0.2679783404, 0.0136745377, 0.0079356730, 0.3418380022, 0.6314265728
11, 4.075, 0.2830141187, 0.0137170702, 0.0074783978, 0.3384736776, 0.6426832676
12, 4.297, 0.2142694294, 0.0136067262, 0.0069606970, 0.3250899017, 0.5599267483
13, 4.500, 0.2312955260, 0.0133556146, 0.0063443608, 0.3358535171, 0.5868489742
14, 4.660, 0.2119891942, 0.0131343640, 0.0057885600, 0.3293291628, 0.5602412820
15, 4.872, 0.2289795578, 0.0128953895, 0.0052705850, 0.3423694372, 0.5895149708
16, 5.047, 0.2220449001, 0.0127582047, 0.0048740762, 0.3394808173, 0.5791580081
17, 5.250, 0.2063534409, 0.0126043689, 0.0044336421, 0.3343532979, 0.5577447414
18, 5.397, 0.2030394226, 0.0124301594, 0.0039208392, 0.3234944344, 0.5428848267
19, 5.615, 0.2176119536, 0.0121863065, 0.0033582936, 0.3290508091, 0.5622073412
20, 5.792, 0.1973543614, 0.0120282406, 0.0029005376, 0.3227268457, 0.5350099802
21, 5.936, 0.1768335551, 0.0119579611, 0.0025676331, 0.3115710616, 0.5029302239
22, 6.121, 0.1895931959, 0.0118992366, 0.0022871590, 0.3140051961, 0.5177847743
23, 6.280, 0.1855942458, 0.0118696634, 0.0020782945, 0.3125080764, 0.5120502710
24, 6.456, 0.1796335578, 0.0118801566, 0.0019554414, 0.3179887235, 0.5114578605
25, 6.615, 0.1775013655, 0.0119249607, 0.0018874663, 0.3124462068, 0.5037599802
26, 6.817, 0.1617050618, 0.0119920736, 0.0018606809, 0.3134664297, 0.4890242219
27, 7.009, 0.1663165987, 0.0120492028, 0.0018322797, 0.3063979745, 0.4865960479
28, 7.158, 0.1580898166, 0.0121004749, 0.0018277374, 0.3117802143, 0.4837982357
29, 7.303, 0.1587116271, 0.0121146599, 0.0018224162, 0.3118566573, 0.4845053554
30, 7.461, 0.1596789509, 0.0121705933, 0.0018705300, 0.3063003719, 0.4800204635
31, 7.627, 0.1561053693, 0.0122059863, 0.0019111055, 0.3074221015, 0.4776445627
32, 7.799, 0.1544618011, 0.0122121181, 0.0019179706, 0.3030949533, 0.4716868401
33, 7.951, 0.1536333412, 0.0121573498, 0.0018658362, 0.2999709547, 0.4676274657
34, 8.150, 0.1391110122, 0.0120655075, 0.0017987399, 0.3000831902, 0.4530584216
35, 8.310, 0.1348192394, 0.0120113343, 0.0017683824, 0.2987374663, 0.4473364353
36, 8.509, 0.1359492987, 0.0120199351, 0.0017918709, 0.2982532382, 0.4480143189
37, 8.656, 0.1398431361, 0.0120701035, 0.0018551323, 0.2947055697, 0.4484739304
