epoch, time, loss1, loss2, loss3, loss4, total_loss
0, 1.663, 0.9729918838, 0.0000420174, 0.0007598018, 0.4419731796, 0.9737936854
1, 2.226, 0.6643080711, 0.0001958435, 0.0064510605, 0.4064318538, 0.6709550023
2, 2.429, 0.5558400154, 0.0021092761, 0.0096884090, 0.4085198045, 0.5676377416
3, 2.612, 0.5448984504, 0.0045515005, 0.0112330280, 0.4091670513, 0.5606830120
4, 2.798, 0.5666464567, 0.0069304430, 0.0112363650, 0.4118715227, 0.5848132968
5, 2.928, 0.4491284788, 0.0086717289, 0.0099919271, 0.3967646956, 0.4677921236
6, 3.045, 0.4753741324, 0.0097660124, 0.0079617528, 0.4200384319, 0.4931018949
7, 3.202, 0.4014847577, 0.0107972976, 0.0066237096, 0.4142273962, 0.4189057648
8, 3.313, 0.4177988470, 0.0116088949, 0.0056292317, 0.4279589951, 0.4350369871
9, 3.430, 0.3576140404, 0.0126971155, 0.0057474547, 0.4118602276, 0.3760586083
10, 3.577, 0.3753267229, 0.0135711953, 0.0056450786, 0.4184968174, 0.3945429921
11, 3.692, 0.3518402576, 0.0141899651, 0.0053073736, 0.4208985865, 0.3713375926
12, 3.810, 0.2853993773, 0.0146986917, 0.0051176436, 0.4035266340, 0.3052157164
13, 3.945, 0.2681046724, 0.0148556568, 0.0045774584, 0.4043709934, 0.2875377834
14, 4.108, 0.2704085410, 0.0149838347, 0.0041612005, 0.4000021815, 0.2895535827
15, 4.226, 0.2532331645, 0.0150249228, 0.0037437999, 0.4060926437, 0.2720018923
16, 4.374, 0.2496512830, 0.0150660453, 0.0034892324, 0.4121407866, 0.2682065666
17, 4.502, 0.2529912591, 0.0151892807, 0.0034127571, 0.4048328400, 0.2715933025
18, 4.622, 0.2222696543, 0.0153053189, 0.0033090762, 0.4032122791, 0.2408840507
19, 4.752, 0.2173070610, 0.0153619433, 0.0031162729, 0.4055315852, 0.2357852906
20, 4.892, 0.2431664616, 0.0153493760, 0.0028654807, 0.4131531715, 0.2613813281
21, 5.059, 0.2000832409, 0.0154144159, 0.0027758961, 0.3963322639, 0.2182735503
22, 5.187, 0.2009039372, 0.0154800294, 0.0026794921, 0.3957497478, 0.2190634608
23, 5.307, 0.1949863732, 0.0155279888, 0.0025723889, 0.4009961188, 0.2130867541
24, 5.450, 0.2046542913, 0.0156077016, 0.0025426247, 0.4099022448, 0.2228046209
25, 5.574, 0.2038276792, 0.0156433731, 0.0024921333, 0.4146641791, 0.2219631821
26, 5.700, 0.1889476031, 0.0156606268, 0.0024255286, 0.3982817233, 0.2070337534
27, 5.824, 0.1665493250, 0.0156962331, 0.0023591022, 0.3963559568, 0.1846046597
28, 5.990, 0.1729471385, 0.0157317538, 0.0022851569, 0.4022523761, 0.1909640431
29, 6.129, 0.1734178662, 0.0157834329, 0.0022404492, 0.4094168246, 0.1914417446
30, 6.273, 0.1714295894, 0.0158452690, 0.0022489710, 0.4057857096, 0.1895238310
31, 6.395, 0.1745489985, 0.0159086231, 0.0022682738, 0.4192147255, 0.1927258968
32, 6.540, 0.1603811085, 0.0159260090, 0.0022332626, 0.4122268260, 0.1785403788
33, 6.679, 0.1498588920, 0.0159153920, 0.0021731521, 0.4088033736, 0.1679474413
34, 6.803, 0.1464754194, 0.0158706196, 0.0020707336, 0.4032604992, 0.1644167751
35, 6.948, 0.1444754004, 0.0158354398, 0.0019742548, 0.4074012041, 0.1622850895
36, 7.085, 0.1427121460, 0.0157851912, 0.0018575977, 0.4154388011, 0.1603549272
37, 7.212, 0.1418287456, 0.0157344211, 0.0017551739, 0.4063525498, 0.1593183428
38, 7.399, 0.1480130106, 0.0156321973, 0.0016096097, 0.4130406380, 0.1652548164
39, 7.580, 0.1352506131, 0.0155059686, 0.0014820583, 0.4048808217, 0.1522386372
40, 7.700, 0.1398528665, 0.0154123576, 0.0013883424, 0.4027037919, 0.1566535681
41, 7.827, 0.1298203170, 0.0154099846, 0.0013620500, 0.3922775388, 0.1465923637
42, 7.951, 0.1326148957, 0.0153704463, 0.0012954733, 0.4114211798, 0.1492808163
43, 8.077, 0.1242479011, 0.0153407846, 0.0012353241, 0.3997174203, 0.1408240050
44, 8.231, 0.1315010488, 0.0152845001, 0.0011514236, 0.4111505449, 0.1479369700
45, 8.356, 0.1325069964, 0.0153338844, 0.0011335647, 0.4097395539, 0.1489744484
46, 8.543, 0.1224302128, 0.0154248113, 0.0011854984, 0.4084098339, 0.1390405148
47, 8.675, 0.1242547259, 0.0154607566, 0.0012149648, 0.4085581005, 0.1409304440
48, 8.838, 0.1234003901, 0.0155063579, 0.0012544509, 0.4139104784, 0.1401612014
49, 8.965, 0.1217405796, 0.0156079475, 0.0013257898, 0.4200989008, 0.1386743188
50, 9.124, 0.1163995042, 0.0155947376, 0.0013026330, 0.4069384038, 0.1332968771
51, 9.286, 0.1239457577, 0.0156407040, 0.0013079193, 0.4175808430, 0.1408943832
52, 9.407, 0.1255869716, 0.0156739280, 0.0012942033, 0.4237646163, 0.1425551027
53, 9.524, 0.1044108048, 0.0156144295, 0.0011856857, 0.4043475091, 0.1212109178
54, 9.689, 0.1147081926, 0.0156209124, 0.0011305385, 0.4106065333, 0.1314596385
55, 9.841, 0.1071736589, 0.0156303383, 0.0010814485, 0.4152179956, 0.1238854527
56, 10.037, 0.1064180955, 0.0154447565, 0.0009042960, 0.4145926833, 0.1227671504
57, 10.172, 0.1155370399, 0.0152829522, 0.0007700928, 0.4244637489, 0.1315900832
58, 10.299, 0.1049884781, 0.0153284548, 0.0007574776, 0.4149377048, 0.1210744083
59, 10.475, 0.1077524722, 0.0153038893, 0.0007489923, 0.4165213704, 0.1238053516
60, 10.607, 0.1013690084, 0.0152392769, 0.0006909395, 0.4111426175, 0.1172992215
61, 10.775, 0.1048304364, 0.0151352957, 0.0006154820, 0.4194702804, 0.1205812171
62, 10.896, 0.1057754904, 0.0150645310, 0.0005823454, 0.4172825217, 0.1214223653
63, 11.023, 0.0988469645, 0.0151199764, 0.0005996752, 0.4111596942, 0.1145666167
64, 11.142, 0.0962543413, 0.0151142916, 0.0006021986, 0.4093215466, 0.1119708344
65, 11.269, 0.0964168161, 0.0151268663, 0.0005549531, 0.4160658419, 0.1120986417
66, 11.405, 0.0981378257, 0.0150893265, 0.0005038842, 0.4246069193, 0.1137310341
67, 11.526, 0.0957142562, 0.0149992509, 0.0004876359, 0.4205493033, 0.1112011373
68, 11.672, 0.0908327773, 0.0149234962, 0.0004836209, 0.4157086909, 0.1062398925
69, 11.794, 0.0956387222, 0.0149645749, 0.0005169365, 0.4252390862, 0.1111202314
70, 11.936, 0.0964752510, 0.0149616208, 0.0005358044, 0.4205754399, 0.1119726747
71, 12.084, 0.0995477512, 0.0148116415, 0.0004701648, 0.4201247692, 0.1148295552
72, 12.223, 0.0900212303, 0.0147511475, 0.0004459528, 0.4152174294, 0.1052183285
73, 12.369, 0.0915510952, 0.0146551235, 0.0004194788, 0.4185012579, 0.1066256911
74, 12.525, 0.0948639661, 0.0145565793, 0.0003908542, 0.4250134826, 0.1098114029
75, 12.668, 0.0919147879, 0.0145620620, 0.0003802977, 0.4104729593, 0.1068571508
76, 12.826, 0.0851338133, 0.0144949174, 0.0003521234, 0.4194574356, 0.0999808535
77, 13.009, 0.0872085318, 0.0143839344, 0.0003053938, 0.4196448326, 0.1018978581
78, 13.140, 0.0852923319, 0.0142739024, 0.0002990893, 0.4220240116, 0.0998653248
79, 13.268, 0.0828246549, 0.0141661959, 0.0002872702, 0.4233656228, 0.0972781256
80, 13.395, 0.0846959054, 0.0140602952, 0.0002900348, 0.4240944684, 0.0990462378
81, 13.517, 0.0878012031, 0.0140697900, 0.0003061885, 0.4305101037, 0.1021771803
82, 13.651, 0.0830795914, 0.0140510248, 0.0002989194, 0.4161387980, 0.0974295363
83, 13.771, 0.0804426894, 0.0139201125, 0.0002884957, 0.4224573970, 0.0946512967
84, 13.894, 0.0869303197, 0.0139018875, 0.0002787580, 0.4290953577, 0.1011109650
85, 14.019, 0.0911004022, 0.0138739143, 0.0002603942, 0.4289661348, 0.1052347124
86, 14.141, 0.0787023380, 0.0138582811, 0.0002625310, 0.4157459438, 0.0928231478
87, 14.288, 0.0764051750, 0.0138140870, 0.0002581178, 0.4151342213, 0.0904773772
88, 14.407, 0.0788559839, 0.0138044050, 0.0002320890, 0.4263381958, 0.0928924754
89, 14.528, 0.0822927356, 0.0137337884, 0.0002105305, 0.4233227968, 0.0962370560
90, 14.658, 0.0782170743, 0.0137233995, 0.0002190427, 0.4312945306, 0.0921595171
91, 14.779, 0.0809795782, 0.0137330629, 0.0002691429, 0.4221194983, 0.0949817896
92, 14.938, 0.0773310959, 0.0136500578, 0.0002474860, 0.4226917326, 0.0912286416
