epoch, time, loss1, loss2, loss3, loss4, total_loss
0, 8.588, 1.8322864771, 0.0000407254, 0.0001749689, 0.6727867126, 1.8325022459
1, 9.467, 1.7439380884, 0.0000633467, 0.0074282964, 0.6546688676, 1.7514296770
2, 9.720, 1.2823193073, 0.0009020973, 0.0087557202, 0.6272896528, 1.2919770479
3, 9.950, 1.0305802822, 0.0024487257, 0.0104892179, 0.6096829772, 1.0435181856
4, 10.181, 0.8767379522, 0.0038129862, 0.0127222706, 0.5944129229, 0.8932731748
5, 10.435, 0.7020670772, 0.0051157707, 0.0151736559, 0.5561422110, 0.7223564982
6, 10.664, 0.6895638108, 0.0063794618, 0.0174548179, 0.5593304038, 0.7133980989
7, 10.896, 0.6302224994, 0.0076362602, 0.0196137838, 0.5598267913, 0.6574725509
8, 11.123, 0.5142704248, 0.0088243429, 0.0214950927, 0.5191440582, 0.5445898771
9, 11.359, 0.4669873118, 0.0099348668, 0.0230733976, 0.5144854188, 0.4999955893
10, 11.592, 0.4708328247, 0.0109589370, 0.0244547501, 0.5074224472, 0.5062465072
11, 11.826, 0.4181688130, 0.0118537331, 0.0253948253, 0.5008220673, 0.4554173648
12, 12.052, 0.4020750225, 0.0126692513, 0.0260843355, 0.4942023754, 0.4408286214
13, 12.281, 0.3884813190, 0.0133879995, 0.0266404357, 0.4828077555, 0.4285097718
14, 12.509, 0.3559939563, 0.0140385441, 0.0270223059, 0.4695391059, 0.3970547915
15, 12.721, 0.3345758617, 0.0146275610, 0.0272028558, 0.4731399119, 0.3764062524
16, 12.937, 0.2899329960, 0.0151961204, 0.0274048466, 0.4565902948, 0.3325339556
17, 13.150, 0.3043689728, 0.0156955235, 0.0275271107, 0.4692343175, 0.3475916088
18, 13.379, 0.2665320039, 0.0161463860, 0.0276589599, 0.4584872723, 0.3103373647
19, 13.615, 0.2572285533, 0.0165325161, 0.0277350880, 0.4635730684, 0.3014961481
20, 13.885, 0.2536837161, 0.0168618225, 0.0277314223, 0.4668178558, 0.2982769608
21, 14.118, 0.2479623705, 0.0171564538, 0.0277081802, 0.4681091905, 0.2928270102
22, 14.374, 0.2355927974, 0.0174038410, 0.0275757015, 0.4779680967, 0.2805723250
23, 14.585, 0.2151259929, 0.0176279712, 0.0274133179, 0.4745227396, 0.2601672709
24, 14.804, 0.2059753090, 0.0178187881, 0.0271939281, 0.4757510722, 0.2509880364
25, 15.019, 0.1945940107, 0.0179795809, 0.0268997308, 0.4867887199, 0.2394733131
26, 15.247, 0.1965197772, 0.0181109514, 0.0265512113, 0.4891482294, 0.2411819398
27, 15.479, 0.1705029905, 0.0182329360, 0.0261900295, 0.4725946188, 0.2149259597
28, 15.715, 0.1683544815, 0.0183053892, 0.0256878827, 0.4789445996, 0.2123477608
29, 15.952, 0.1627295017, 0.0183301009, 0.0250531677, 0.4820206761, 0.2061127722
