epoch, time, loss1, loss2, loss3, loss4, total_loss
0, 0.418, 0.7251312733, 0.0000686161, 0.0019332450, 0.3032431901, 0.7271330953
1, 0.720, 0.5058528781, 0.0000399910, 0.0080989804, 0.3714228272, 0.5139918327
2, 0.974, 0.3342295289, 0.0006761512, 0.0085169934, 0.3582565188, 0.3434226811
3, 1.109, 0.2539601028, 0.0010955675, 0.0079121040, 0.3351666927, 0.2629677653
4, 1.232, 0.2039753497, 0.0018952821, 0.0081704604, 0.3230621517, 0.2140410841
5, 1.345, 0.2051365525, 0.0026929451, 0.0086851753, 0.3208162487, 0.2165146619
6, 1.464, 0.1752023846, 0.0032128205, 0.0083420118, 0.3123773336, 0.1867572218
7, 1.586, 0.1714460403, 0.0035984716, 0.0074735042, 0.3123488128, 0.1825180054
8, 1.737, 0.1591894031, 0.0040059905, 0.0068506184, 0.3102526665, 0.1700460017
9, 1.874, 0.1445523798, 0.0043839547, 0.0062984908, 0.3160564601, 0.1552348286
10, 1.984, 0.1366593242, 0.0047188816, 0.0057408777, 0.3189479113, 0.1471190900
11, 2.104, 0.1243140697, 0.0050836853, 0.0052851527, 0.3186350465, 0.1346829087
12, 2.258, 0.1130560488, 0.0054767299, 0.0049199727, 0.3207909167, 0.1234527528
13, 2.398, 0.1104507670, 0.0058602197, 0.0044668573, 0.3239244819, 0.1207778379
14, 2.530, 0.1015669703, 0.0062292735, 0.0040214970, 0.3255185783, 0.1118177399
15, 2.680, 0.1001969501, 0.0066049667, 0.0036410468, 0.3306663036, 0.1104429662
16, 2.819, 0.0917542279, 0.0069814050, 0.0034495818, 0.3275755644, 0.1021852121
17, 2.959, 0.0923968777, 0.0073104501, 0.0032358137, 0.3287622929, 0.1029431447
18, 3.084, 0.0891167298, 0.0075888885, 0.0030440814, 0.3301835656, 0.0997496992
19, 3.210, 0.0868891776, 0.0078646932, 0.0029445123, 0.3324855566, 0.0976983830
