epoch, time, loss1, loss2, loss3, loss4, total_loss
0, 2.398, 0.8668233752, 0.0000420174, 0.0007598018, 0.4477684200, 0.8676251769
1, 3.468, 0.7104120851, 0.0002092508, 0.0083614392, 0.4399755895, 0.7189828157
2, 3.667, 0.5879848003, 0.0012865248, 0.0086842282, 0.4311802685, 0.5979555249
3, 3.862, 0.5498907566, 0.0027975885, 0.0096358377, 0.4294764400, 0.5623242259
4, 4.028, 0.5048530698, 0.0038208175, 0.0101945885, 0.4400084615, 0.5188685060
5, 4.196, 0.4167601466, 0.0046876804, 0.0106890528, 0.4365103841, 0.4321368635
6, 4.355, 0.4476896822, 0.0055323518, 0.0110386442, 0.4582464397, 0.4642606676
7, 4.527, 0.4023042619, 0.0065478571, 0.0117542390, 0.4574113190, 0.4206063747
8, 4.701, 0.4103777111, 0.0072558452, 0.0118091898, 0.4488395154, 0.4294427633
9, 4.865, 0.3765611649, 0.0075974143, 0.0111408886, 0.4471811056, 0.3952994645
10, 5.024, 0.3894186318, 0.0078771627, 0.0104288384, 0.4571727812, 0.4077246487
11, 5.184, 0.3675981164, 0.0082462188, 0.0099909930, 0.4639468193, 0.3858353198
12, 5.348, 0.3139000833, 0.0085449805, 0.0095643913, 0.4617221951, 0.3320094645
13, 5.521, 0.3633730412, 0.0086714691, 0.0090026911, 0.4836157560, 0.3810471892
14, 5.692, 0.2968734503, 0.0088961264, 0.0088766832, 0.4608083367, 0.3146462440
15, 5.883, 0.2894761860, 0.0090461904, 0.0086331479, 0.4606895745, 0.3071555197
16, 6.047, 0.2711960673, 0.0090484601, 0.0079254601, 0.4701511860, 0.2881699800
17, 6.231, 0.2792075276, 0.0090296799, 0.0071435696, 0.4823572040, 0.2953807712
18, 6.411, 0.2557309568, 0.0090430062, 0.0063639227, 0.4706228971, 0.2711378932
19, 6.571, 0.2129900604, 0.0090747345, 0.0058558867, 0.4583137929, 0.2279206812
20, 6.727, 0.2184824497, 0.0091121225, 0.0054392428, 0.4610525370, 0.2330338061
21, 6.890, 0.2384881824, 0.0090466542, 0.0045846789, 0.4774910510, 0.2521195114
22, 7.050, 0.2203264236, 0.0091431774, 0.0043576923, 0.4835960269, 0.2338272929
23, 7.205, 0.1966502815, 0.0091682542, 0.0040299334, 0.4935216904, 0.2098484635
24, 7.349, 0.1761238873, 0.0091200694, 0.0036101050, 0.4693055153, 0.1888540685
25, 7.520, 0.1642701030, 0.0091805393, 0.0035515276, 0.4722525775, 0.1770021766
26, 7.661, 0.1641237140, 0.0090073971, 0.0029314887, 0.4809283614, 0.1760625988
27, 7.809, 0.1597109884, 0.0090945438, 0.0030339421, 0.4933680296, 0.1718394756
28, 7.969, 0.1468201727, 0.0086539350, 0.0021530020, 0.4864264727, 0.1576271206
29, 8.117, 0.1503419578, 0.0090516265, 0.0033942231, 0.4886289239, 0.1627877951
30, 8.273, 0.1356360018, 0.0090271719, 0.0031838876, 0.5003837943, 0.1478470564
31, 8.439, 0.1480828226, 0.0088112280, 0.0024173681, 0.5056347847, 0.1593114287
32, 8.584, 0.1395904422, 0.0084412303, 0.0017611543, 0.5092229247, 0.1497928202
33, 8.751, 0.1261093616, 0.0084585436, 0.0018136678, 0.5035964251, 0.1363815665
34, 8.916, 0.1171872318, 0.0084682489, 0.0020721878, 0.4962429404, 0.1277276725
35, 9.091, 0.1178564131, 0.0084101129, 0.0020203276, 0.5097136497, 0.1282868534
36, 9.257, 0.1201198101, 0.0083146403, 0.0017206141, 0.5087252855, 0.1301550567
37, 9.427, 0.1217142045, 0.0081442418, 0.0013692927, 0.5351786613, 0.1312277466
38, 9.584, 0.1213690713, 0.0080106817, 0.0011643384, 0.5297715664, 0.1305440813
39, 9.731, 0.1113259271, 0.0079470240, 0.0010690124, 0.5179441571, 0.1203419566
40, 9.889, 0.1056732610, 0.0079424307, 0.0010891225, 0.5272473097, 0.1147048175
41, 10.045, 0.1023106575, 0.0079285661, 0.0011080134, 0.5184011459, 0.1113472357
42, 10.199, 0.1087360829, 0.0079196962, 0.0010543755, 0.5396015644, 0.1177101582
43, 10.361, 0.1025628000, 0.0078994147, 0.0009510302, 0.5335263014, 0.1114132479
44, 10.520, 0.1033527777, 0.0078477263, 0.0008403430, 0.5212942362, 0.1120408475
45, 10.689, 0.1059513837, 0.0077891885, 0.0007610091, 0.5316407681, 0.1145015806
46, 10.858, 0.0936181396, 0.0078430632, 0.0008041560, 0.5251936316, 0.1022653580
47, 11.032, 0.0944317058, 0.0078615975, 0.0008347593, 0.5371694565, 0.1031280607
48, 11.207, 0.0857425779, 0.0078635467, 0.0007780179, 0.5069056153, 0.0943841413
49, 11.393, 0.0847807229, 0.0078365486, 0.0006748413, 0.5278265476, 0.0932921171
50, 11.556, 0.0952773988, 0.0078128641, 0.0005906976, 0.5453838706, 0.1036809608
51, 11.723, 0.0875055939, 0.0078200679, 0.0005786492, 0.5446438789, 0.0959043130
52, 11.882, 0.0935152173, 0.0078210263, 0.0005819306, 0.5429283977, 0.1019181684
53, 12.049, 0.0823364109, 0.0077796453, 0.0005324571, 0.5277714133, 0.0906485096
54, 12.209, 0.0864978507, 0.0077230483, 0.0004738501, 0.5162842870, 0.0946947485
55, 12.368, 0.0802854449, 0.0076753562, 0.0004282095, 0.5189375877, 0.0883890092
56, 12.541, 0.0840864927, 0.0076539782, 0.0004191236, 0.5318967104, 0.0921595991
57, 12.692, 0.0854284167, 0.0076304423, 0.0004129684, 0.5343566537, 0.0934718326
58, 12.838, 0.0770738870, 0.0075759613, 0.0003447001, 0.5261979103, 0.0849945471
59, 12.984, 0.0822995082, 0.0074910284, 0.0002721852, 0.5366380811, 0.0900627226
60, 13.169, 0.0729194432, 0.0074469391, 0.0002501824, 0.5119039416, 0.0806165636
61, 13.452, 0.0789728016, 0.0074085998, 0.0002339890, 0.5362057090, 0.0866153836
62, 13.870, 0.0830409229, 0.0073743290, 0.0002126365, 0.5332508087, 0.0906278938
63, 14.297, 0.0766509622, 0.0073862076, 0.0002482075, 0.5415145755, 0.0842853785
64, 14.712, 0.0760599673, 0.0073801796, 0.0002578261, 0.5191989541, 0.0836979747
65, 15.117, 0.0828671157, 0.0073646824, 0.0002104314, 0.5288084149, 0.0904422328
66, 15.504, 0.0739172995, 0.0073082969, 0.0001328928, 0.5253302455, 0.0813584924
67, 15.912, 0.0766838267, 0.0072452980, 0.0001039955, 0.5274096727, 0.0840331167
68, 16.349, 0.0740364417, 0.0072543062, 0.0000906612, 0.5315706134, 0.0813814104
69, 16.718, 0.0756480470, 0.0072837006, 0.0001313930, 0.5226799250, 0.0830631405
70, 17.119, 0.0784541592, 0.0072908076, 0.0001855060, 0.5371086001, 0.0859304741
71, 17.521, 0.0738039017, 0.0072829337, 0.0001486228, 0.5337684751, 0.0812354609
72, 17.927, 0.0786408037, 0.0072090342, 0.0000819669, 0.5231654644, 0.0859318003
73, 18.353, 0.0746502802, 0.0071529467, 0.0000663053, 0.5283814669, 0.0818695277
74, 18.762, 0.0699977428, 0.0071393233, 0.0000605168, 0.5298944712, 0.0771975815
75, 19.140, 0.0695553273, 0.0071119396, 0.0000593617, 0.5042695999, 0.0767266229
76, 19.572, 0.0642883629, 0.0071040951, 0.0000516631, 0.5202932358, 0.0714441240
77, 19.894, 0.0682206154, 0.0070991172, 0.0000470240, 0.5197005868, 0.0753667504
78, 20.259, 0.0651792437, 0.0071102376, 0.0000508021, 0.5176063180, 0.0723402873
79, 20.581, 0.0674205869, 0.0071055368, 0.0000473832, 0.5259338021, 0.0745735094
80, 20.912, 0.0663320422, 0.0070847478, 0.0000316583, 0.5271751285, 0.0734484494
81, 21.238, 0.0639200658, 0.0070612771, 0.0000225777, 0.5271113515, 0.0710039213
82, 21.553, 0.0629607812, 0.0070467019, 0.0000194345, 0.5152147412, 0.0700269118
83, 21.922, 0.0660071597, 0.0070514213, 0.0000203950, 0.5315517783, 0.0730789751
84, 22.256, 0.0681259260, 0.0070466693, 0.0000185456, 0.5266584158, 0.0751911402
85, 22.599, 0.0651007220, 0.0070102685, 0.0000151843, 0.5371864438, 0.0721261725
86, 22.928, 0.0691258237, 0.0069774520, 0.0000142836, 0.5518912673, 0.0761175603
87, 23.475, 0.0632919744, 0.0069419355, 0.0000130933, 0.5293779969, 0.0702470019
88, 23.818, 0.0663307682, 0.0069069755, 0.0000121506, 0.5329645276, 0.0732498989
89, 24.232, 0.0589749552, 0.0068823616, 0.0000117336, 0.5121396184, 0.0658690482
90, 24.606, 0.0654909387, 0.0068481062, 0.0000139155, 0.5262422562, 0.0723529607
91, 24.886, 0.0609634593, 0.0068413955, 0.0000124038, 0.5296202898, 0.0678172633
