epoch, time, loss1, loss2, loss3, loss4, total_loss
0, 0.337, 0.0411768779, 0.0034330497, 0.0794564411, 0.3864956200, 0.1240663677
1, 0.756, 0.0345764048, 0.0033039635, 0.0626179874, 0.3637717962, 0.1004983559
2, 1.229, 0.0328324139, 0.0033642896, 0.0651516765, 0.4112586379, 0.1013483852
3, 1.653, 0.0320678577, 0.0033005131, 0.0549883768, 0.4712488055, 0.0903567523
4, 2.012, 0.0323107578, 0.0033371034, 0.0610759556, 0.5058128238, 0.0967238173
5, 2.406, 0.0322704166, 0.0033603967, 0.0579013377, 0.5117182136, 0.0935321525
6, 2.865, 0.0321141891, 0.0032223901, 0.0485614054, 0.5355715752, 0.0838979855
7, 3.189, 0.0321265087, 0.0031111601, 0.0501200967, 0.5611791015, 0.0853577703
8, 3.535, 0.0320358053, 0.0030023900, 0.0484789163, 0.5499812961, 0.0835171118
9, 3.915, 0.0320415646, 0.0029759211, 0.0514730066, 0.5660241842, 0.0864904970
10, 4.242, 0.0319026485, 0.0029500050, 0.0469619744, 0.5401048660, 0.0818146318
11, 4.524, 0.0319874398, 0.0028567936, 0.0434819758, 0.5503382683, 0.0783262104
12, 4.801, 0.0320609994, 0.0028133804, 0.0426395275, 0.5573309064, 0.0775139034
13, 5.144, 0.0319148526, 0.0028700698, 0.0412753746, 0.5588147044, 0.0760602951
14, 5.482, 0.0322644003, 0.0027252135, 0.0384357870, 0.5798524618, 0.0734253973
15, 5.817, 0.0320658088, 0.0027809979, 0.0309334788, 0.5684522986, 0.0657802820
16, 6.228, 0.0319470130, 0.0026484292, 0.0223467890, 0.5697933435, 0.0569422320
17, 6.560, 0.0318843424, 0.0026219303, 0.0176241901, 0.5653895736, 0.0521304607
18, 6.896, 0.0319952592, 0.0024883095, 0.0223811492, 0.5948278308, 0.0568647161
19, 7.186, 0.0319616310, 0.0024356064, 0.0244431682, 0.5623185635, 0.0588404052
20, 7.539, 0.0319124572, 0.0024885556, 0.0231445748, 0.5590572953, 0.0575455874
21, 7.878, 0.0320019126, 0.0023480379, 0.0186644923, 0.5632593632, 0.0530144423
22, 8.181, 0.0318637453, 0.0023607789, 0.0159880444, 0.5377579331, 0.0502125695
23, 8.454, 0.0318421982, 0.0023094362, 0.0171431601, 0.5472016335, 0.0512947962
24, 8.793, 0.0317736715, 0.0022564575, 0.0180072505, 0.5219932795, 0.0520373806
25, 9.188, 0.0317811035, 0.0022180974, 0.0163153857, 0.5286895037, 0.0503145866
26, 9.554, 0.0318056755, 0.0022215862, 0.0146141471, 0.5311049819, 0.0486414097
27, 9.915, 0.0318431370, 0.0022018091, 0.0153166074, 0.5189023614, 0.0493615568
28, 10.244, 0.0318052620, 0.0021267005, 0.0164001975, 0.5130566359, 0.0503321588
29, 10.564, 0.0318145044, 0.0020271863, 0.0163944475, 0.5021666884, 0.0502361394
30, 10.815, 0.0318327658, 0.0020880732, 0.0144872768, 0.5116285086, 0.0484081171
31, 11.143, 0.0317424498, 0.0019914138, 0.0130286124, 0.4892175496, 0.0467624739
32, 11.479, 0.0317571647, 0.0019342392, 0.0126885576, 0.4965681434, 0.0463799611
33, 11.813, 0.0317348577, 0.0018777036, 0.0141949523, 0.4875652790, 0.0478075147
34, 12.109, 0.0317599699, 0.0018374519, 0.0152425459, 0.4728802741, 0.0488399677
35, 12.395, 0.0317078307, 0.0018972930, 0.0138871800, 0.4717220366, 0.0474923030
36, 12.738, 0.0316572413, 0.0018005194, 0.0129750781, 0.4574467540, 0.0464328378
37, 13.075, 0.0317242928, 0.0017574085, 0.0123021044, 0.4628998935, 0.0457838066
38, 13.389, 0.0316773839, 0.0017587412, 0.0123900836, 0.4552123249, 0.0458262116
39, 13.744, 0.0316991434, 0.0016508270, 0.0131013626, 0.4469906688, 0.0464513302
40, 14.003, 0.0316790529, 0.0016876255, 0.0136439735, 0.4383680224, 0.0470106527
41, 14.337, 0.0315886699, 0.0016735315, 0.0131162107, 0.4206886292, 0.0463784114
42, 14.691, 0.0316182338, 0.0015621029, 0.0125681162, 0.4162407517, 0.0457484536
43, 15.028, 0.0316372700, 0.0015467618, 0.0124742985, 0.4226045310, 0.0456583314
44, 15.431, 0.0316628069, 0.0015178198, 0.0124369767, 0.4169105589, 0.0456176028
45, 15.738, 0.0316069797, 0.0014803798, 0.0124587603, 0.4168079793, 0.0455461182
46, 16.009, 0.0316041261, 0.0014441932, 0.0129002556, 0.4163783789, 0.0459485762
47, 16.334, 0.0316356756, 0.0014553291, 0.0125771789, 0.4168431759, 0.0456681848
48, 16.744, 0.0315834023, 0.0013849746, 0.0126853585, 0.4055166245, 0.0456537344
49, 17.096, 0.0315541178, 0.0013127556, 0.0124091320, 0.3947613239, 0.0452760048
50, 17.432, 0.0316024609, 0.0013261156, 0.0125199398, 0.4077326655, 0.0454485156
51, 17.740, 0.0315975659, 0.0013553662, 0.0125234136, 0.3988204300, 0.0454763435
52, 18.004, 0.0315765552, 0.0013481261, 0.0125264367, 0.4013728201, 0.0454511195
53, 18.330, 0.0315376297, 0.0012916859, 0.0124892984, 0.4029661417, 0.0453186110
54, 18.672, 0.0315840244, 0.0013006669, 0.0124979662, 0.4048452675, 0.0453826562
55, 18.985, 0.0315280110, 0.0012221558, 0.0123692863, 0.3893923461, 0.0451194532
56, 19.379, 0.0315648802, 0.0011773572, 0.0122686708, 0.3957803845, 0.0450109057
57, 19.734, 0.0315655172, 0.0011464888, 0.0123697128, 0.3938637376, 0.0450817198
58, 20.083, 0.0315174982, 0.0011490553, 0.0124388309, 0.3887347281, 0.0451053828
59, 20.416, 0.0315456688, 0.0010911665, 0.0123161711, 0.3939318061, 0.0449530073
60, 20.699, 0.0315370671, 0.0010842384, 0.0124210203, 0.3867998123, 0.0450423248
61, 20.985, 0.0315650702, 0.0010519259, 0.0122505547, 0.3856359422, 0.0448675491
62, 21.337, 0.0314969160, 0.0010700909, 0.0123155778, 0.3775472045, 0.0448825844
63, 21.676, 0.0314882956, 0.0010308231, 0.0124078970, 0.3817934394, 0.0449270159
64, 21.998, 0.0315191969, 0.0010086347, 0.0123877870, 0.3774224222, 0.0449156165
65, 22.284, 0.0314813070, 0.0009265117, 0.0122348173, 0.3779766560, 0.0446426384
