epoch, time, loss1, loss2, loss3, loss4, total_loss
0, 0.548, 1.2938776016, 0.0000333915, 0.0001907809, 0.4291524887, 1.2941017151
1, 0.739, 1.1112328768, 0.0000391364, 0.0068416828, 0.4133311510, 1.1181136370
2, 0.808, 0.8561510444, 0.0004770498, 0.0078889001, 0.3911267221, 0.8645170331
3, 0.874, 0.6826691031, 0.0012219665, 0.0093770334, 0.3902164698, 0.6932681203
4, 0.941, 0.5906178951, 0.0019601216, 0.0113676507, 0.3740735650, 0.6039456725
5, 1.007, 0.7082167864, 0.0026687894, 0.0131683303, 0.3900391459, 0.7240539193
6, 1.071, 0.5634004474, 0.0033128825, 0.0147674503, 0.3842688501, 0.5814808011
7, 1.138, 0.5434476733, 0.0039255335, 0.0158139095, 0.3793806434, 0.5631871223
8, 1.207, 0.5575466156, 0.0046128766, 0.0167864002, 0.3950160146, 0.5789458752
9, 1.272, 0.5901825428, 0.0053662197, 0.0176455136, 0.4157624543, 0.6131942868
10, 1.336, 0.5420154333, 0.0062291929, 0.0185641628, 0.3866894543, 0.5668088198
11, 1.402, 0.5393567085, 0.0071124905, 0.0192527622, 0.3917167485, 0.5657219887
12, 1.466, 0.5215606093, 0.0079844818, 0.0198759120, 0.3879623711, 0.5494209528
13, 1.530, 0.5032899380, 0.0086225756, 0.0198638290, 0.3906154633, 0.5317763686
14, 1.594, 0.4714828134, 0.0090375068, 0.0191706978, 0.3865770400, 0.4996910095
15, 1.661, 0.5613275170, 0.0091565764, 0.0174893197, 0.3915611804, 0.5879734159
16, 1.727, 0.5118933320, 0.0088913916, 0.0147412512, 0.3841038346, 0.5355259776
17, 1.794, 0.4536731839, 0.0091180122, 0.0141041903, 0.3767696321, 0.4768953919
18, 1.862, 0.4593034983, 0.0101661924, 0.0168132931, 0.3764998913, 0.4862830043
19, 1.926, 0.4249183238, 0.0108435825, 0.0179733522, 0.3688441515, 0.4537352622
20, 1.994, 0.4350288808, 0.0106425686, 0.0149855539, 0.3771624863, 0.4606570005
21, 2.059, 0.4336414337, 0.0108067337, 0.0136157647, 0.3812943697, 0.4580639303
22, 2.126, 0.4171448350, 0.0118725402, 0.0157232843, 0.3814273477, 0.4447406530
23, 2.191, 0.3543471694, 0.0122991698, 0.0154723283, 0.3712868094, 0.3821186721
24, 2.258, 0.3391115069, 0.0117857894, 0.0117684714, 0.3689127564, 0.3626657426
25, 2.322, 0.3157921433, 0.0121226078, 0.0112358434, 0.3710444272, 0.3391505778
26, 2.387, 0.3303142786, 0.0129313087, 0.0125077246, 0.3922628164, 0.3557533324
27, 2.454, 0.2853414118, 0.0135102840, 0.0129326005, 0.3925988972, 0.3117842972
28, 2.519, 0.2744710445, 0.0132377902, 0.0100707710, 0.3876209259, 0.2977796197
29, 2.582, 0.2414618582, 0.0132825579, 0.0088028638, 0.3796089888, 0.2635472715
30, 2.646, 0.2511680126, 0.0142977107, 0.0107419807, 0.3869690895, 0.2762077153
31, 2.711, 0.2481752187, 0.0146717178, 0.0110795591, 0.3940477669, 0.2739264965
32, 2.775, 0.2032404840, 0.0141934734, 0.0084140170, 0.3690578938, 0.2258479744
33, 2.842, 0.2362423837, 0.0140799833, 0.0073715490, 0.4161416292, 0.2576939166
34, 2.907, 0.2278814763, 0.0142580569, 0.0073134978, 0.4221386015, 0.2494530380
35, 2.971, 0.2205785811, 0.0145849157, 0.0078639230, 0.4268420339, 0.2430274189
36, 3.036, 0.2193165570, 0.0143050402, 0.0066925180, 0.4359926283, 0.2403141111
37, 3.102, 0.1867440641, 0.0139900958, 0.0055397083, 0.4178983569, 0.2062738687
38, 3.170, 0.1942853034, 0.0143945348, 0.0059567122, 0.4228697717, 0.2146365494
39, 3.234, 0.1725856513, 0.0149145201, 0.0070252586, 0.4334477484, 0.1945254356
40, 3.299, 0.1831644624, 0.0146877272, 0.0055863750, 0.4283160567, 0.2034385651
41, 3.366, 0.1686709821, 0.0142336944, 0.0043598837, 0.4392411113, 0.1872645617
42, 3.433, 0.1759141535, 0.0143258851, 0.0042384788, 0.4548175931, 0.1944785118
43, 3.499, 0.1634583473, 0.0148281110, 0.0048307832, 0.4584794343, 0.1831172407
44, 3.566, 0.1616744250, 0.0149958739, 0.0048656049, 0.4635336697, 0.1815358996
45, 3.633, 0.1521640122, 0.0147881145, 0.0040713544, 0.4588737488, 0.1710234880
46, 3.699, 0.1652277559, 0.0145353638, 0.0036397988, 0.4644506276, 0.1834029257
47, 3.766, 0.1510153562, 0.0146470610, 0.0035613102, 0.4536136389, 0.1692237258
48, 3.831, 0.1382845789, 0.0150380190, 0.0037794285, 0.4662271440, 0.1571020186
49, 3.898, 0.1407600492, 0.0152885532, 0.0039161369, 0.4510499835, 0.1599647403
50, 3.963, 0.1501113623, 0.0153698167, 0.0037390199, 0.4850318730, 0.1692201942
51, 4.027, 0.1398438811, 0.0152046857, 0.0033295359, 0.4898517728, 0.1583780944
52, 4.093, 0.1436207294, 0.0149567649, 0.0030814945, 0.4839608371, 0.1616590023
53, 4.157, 0.1398216486, 0.0151505386, 0.0030887648, 0.4996629357, 0.1580609381
54, 4.223, 0.1328977197, 0.0153874643, 0.0031255519, 0.4929400086, 0.1514107287
55, 4.286, 0.1375767738, 0.0156042762, 0.0031909153, 0.5010848641, 0.1563719660
56, 4.354, 0.1210029423, 0.0158839412, 0.0032526350, 0.4974494576, 0.1401395202
57, 4.417, 0.1155718938, 0.0160944574, 0.0032589529, 0.4842330217, 0.1349253058
58, 4.483, 0.1277197599, 0.0161649734, 0.0031575700, 0.5009401441, 0.1470423043
59, 4.548, 0.1190880686, 0.0160870440, 0.0029987441, 0.4892658889, 0.1381738484
60, 4.614, 0.1117856055, 0.0159613024, 0.0028688274, 0.5002758503, 0.1306157410
61, 4.685, 0.1232546270, 0.0159408282, 0.0028149188, 0.5149272680, 0.1420103759
62, 4.751, 0.1068295240, 0.0161196273, 0.0028506462, 0.4994850159, 0.1257998049
63, 4.818, 0.1048285589, 0.0162958018, 0.0028805188, 0.4872172177, 0.1240048781
64, 4.886, 0.1066676527, 0.0164465047, 0.0028926355, 0.4954105616, 0.1260067821
65, 4.951, 0.0989358425, 0.0164210945, 0.0027590164, 0.4862996638, 0.1181159541
66, 5.015, 0.1003445834, 0.0163336135, 0.0026143149, 0.4830342233, 0.1192925051
67, 5.082, 0.0985782146, 0.0163625479, 0.0025463947, 0.4898779988, 0.1174871549
68, 5.147, 0.0963766277, 0.0163884852, 0.0024528159, 0.4978018105, 0.1152179241
69, 5.211, 0.0983913541, 0.0163659081, 0.0023619980, 0.5069290996, 0.1171192601
70, 5.278, 0.1030529141, 0.0164219234, 0.0023419203, 0.5068749189, 0.1218167543
71, 5.343, 0.0976359695, 0.0165412202, 0.0023170959, 0.5188893080, 0.1164942831
72, 5.410, 0.0980842561, 0.0165963285, 0.0022501394, 0.5332297087, 0.1169307306
73, 5.475, 0.0949129909, 0.0164758246, 0.0021114592, 0.5097238421, 0.1135002747
74, 5.540, 0.0957075655, 0.0163098853, 0.0020083487, 0.5171631575, 0.1140258014
75, 5.605, 0.0925297216, 0.0162990205, 0.0019772097, 0.5163270831, 0.1108059511
76, 5.671, 0.0890423879, 0.0163241737, 0.0019846200, 0.5042138696, 0.1073511764
77, 5.738, 0.0907341987, 0.0163740721, 0.0019871318, 0.5223405361, 0.1090954021
78, 5.802, 0.0984458625, 0.0163425338, 0.0019384215, 0.5447395444, 0.1167268232
79, 5.865, 0.0892157257, 0.0161409620, 0.0018496000, 0.5189786553, 0.1072062850
80, 5.929, 0.0912367329, 0.0159366615, 0.0017780487, 0.5332672000, 0.1089514494
81, 5.994, 0.0831268281, 0.0158317424, 0.0016965092, 0.5223997235, 0.1006550789
82, 6.059, 0.0883712098, 0.0158539936, 0.0016409119, 0.5341292620, 0.1058661118
83, 6.126, 0.0876056999, 0.0159510747, 0.0016044751, 0.5284901857, 0.1051612496
84, 6.191, 0.0903294384, 0.0160292313, 0.0015518549, 0.5328911543, 0.1079105213
85, 6.257, 0.0899965018, 0.0160322450, 0.0014800321, 0.5262691975, 0.1075087860
86, 6.323, 0.0923127681, 0.0160553511, 0.0014101660, 0.5452973247, 0.1097782850
87, 6.384, 0.0869444981, 0.0158866309, 0.0012555268, 0.5233677626, 0.1040866524
88, 6.450, 0.0966674238, 0.0156810954, 0.0011526262, 0.5642628670, 0.1135011464
89, 6.519, 0.0860114843, 0.0155487778, 0.0011020852, 0.5475071073, 0.1026623473
90, 6.583, 0.0836068317, 0.0156234726, 0.0010675489, 0.5381529331, 0.1002978534
91, 6.648, 0.0938094705, 0.0157080423, 0.0010660253, 0.5196123719, 0.1105835438
92, 6.708, 0.0901624858, 0.0158282463, 0.0011271128, 0.5479429364, 0.1071178466
93, 6.774, 0.0926508605, 0.0156915914, 0.0010776748, 0.5455853343, 0.1094201282
94, 6.838, 0.0914059803, 0.0155327013, 0.0010155515, 0.5532928705, 0.1079542339
95, 6.903, 0.0878086314, 0.0155108841, 0.0009578308, 0.5612314939, 0.1042773500
96, 6.970, 0.0823499188, 0.0156247681, 0.0009687377, 0.5554953814, 0.0989434272
97, 7.036, 0.0819342509, 0.0156518426, 0.0009396173, 0.5331779718, 0.0985257104
98, 7.102, 0.0824815109, 0.0156391729, 0.0009083608, 0.5299847126, 0.0990290418
99, 7.167, 0.0891029909, 0.0157195888, 0.0008980352, 0.5528569221, 0.1057206094
100, 7.229, 0.0865741968, 0.0156562980, 0.0007934194, 0.5607962608, 0.1030239165
101, 7.293, 0.0850730240, 0.0154702943, 0.0006762684, 0.5542914867, 0.1012195870
102, 7.358, 0.0900228843, 0.0154822357, 0.0006355706, 0.5538087487, 0.1061406955
103, 7.423, 0.0819875449, 0.0156360269, 0.0006753866, 0.5408009887, 0.0982989594
104, 7.487, 0.0786308348, 0.0155827235, 0.0006318918, 0.5369390845, 0.0948454514
