epoch, time, loss1, loss2, loss3, loss4, total_loss
0, 0.808, 0.6500042677, 0.0000103002, 0.0001642400, 0.4195705652, 0.6517496705
1, 1.391, 0.5296214223, 0.0000163664, 0.0014616229, 0.3434769213, 0.5444013476
2, 1.975, 0.4984043539, 0.0003661975, 0.0017069398, 0.3400383592, 0.5191357136
3, 2.458, 0.5067718625, 0.0009733639, 0.0024484501, 0.3489019871, 0.5409899950
4, 2.940, 0.4620943964, 0.0015471543, 0.0031309156, 0.3546967804, 0.5088751316
5, 3.424, 0.4438027442, 0.0019696390, 0.0033396552, 0.3633477092, 0.4968956709
6, 3.905, 0.3778078258, 0.0022492444, 0.0033026461, 0.3395798802, 0.4333267212
7, 4.390, 0.3945239484, 0.0023560361, 0.0029815435, 0.3779386282, 0.4478997588
8, 4.873, 0.3648445308, 0.0023010303, 0.0022333108, 0.3645429611, 0.4101879597
9, 5.354, 0.3601070344, 0.0019353875, 0.0012031421, 0.3503474891, 0.3914923072
10, 5.842, 0.3257227838, 0.0025355485, 0.0022578742, 0.3600493073, 0.3736570179
11, 6.324, 0.2833667696, 0.0026509629, 0.0025367150, 0.3414254487, 0.3352435529
12, 6.808, 0.2521733344, 0.0026070345, 0.0022902419, 0.3322804272, 0.3011461198
13, 7.288, 0.2842377126, 0.0025090480, 0.0017192917, 0.3288020492, 0.3265211284
14, 7.769, 0.2287854999, 0.0023565758, 0.0011113082, 0.3376710713, 0.2634643316
15, 8.250, 0.2106189728, 0.0023298808, 0.0009434017, 0.3615375459, 0.2433517873
16, 8.733, 0.2072020471, 0.0024279081, 0.0010734446, 0.4011737406, 0.2422155738
17, 9.212, 0.1760784835, 0.0024902741, 0.0011688685, 0.3426113725, 0.2126699090
18, 9.695, 0.1585873216, 0.0024962802, 0.0010568785, 0.3696647286, 0.1941189021
19, 10.279, 0.1511359662, 0.0024848902, 0.0009103825, 0.3641399145, 0.1850886792
20, 10.763, 0.1485362947, 0.0024837404, 0.0008254924, 0.3603225946, 0.1816286296
21, 11.247, 0.1441923380, 0.0025026125, 0.0007991540, 0.3734430671, 0.1772100031
22, 11.730, 0.1287966669, 0.0025171114, 0.0007647659, 0.3544267714, 0.1616154462
23, 12.214, 0.1202342287, 0.0025139023, 0.0007155735, 0.3589566946, 0.1525289863
24, 12.698, 0.1190390959, 0.0024965436, 0.0006271355, 0.3731928468, 0.1502758861
25, 13.182, 0.1125387996, 0.0025027981, 0.0006199882, 0.3679220676, 0.1437666565
26, 13.664, 0.1085314676, 0.0024892846, 0.0005661544, 0.3551291227, 0.1390858591
27, 14.146, 0.1115575209, 0.0024810098, 0.0005288902, 0.3768942952, 0.1416565180
28, 14.630, 0.1100581959, 0.0024793374, 0.0005067656, 0.4093221426, 0.1399192363
29, 15.115, 0.0981043726, 0.0024707487, 0.0004672330, 0.3587618768, 0.1274841875
30, 15.601, 0.0960709080, 0.0024540888, 0.0004102202, 0.3709056675, 0.1247139946
31, 16.084, 0.0947250947, 0.0024387138, 0.0003635958, 0.3746169806, 0.1227481887
32, 16.570, 0.0896646231, 0.0024224038, 0.0003275388, 0.3864617944, 0.1171640456
33, 17.050, 0.0908940136, 0.0024059936, 0.0003032398, 0.3792562485, 0.1179863513
34, 17.533, 0.0794302672, 0.0023802810, 0.0002533346, 0.3742886484, 0.1057664230
35, 18.016, 0.0852114335, 0.0023615214, 0.0002163223, 0.3957483470, 0.1109898686
36, 18.497, 0.0714507475, 0.0023426099, 0.0001868933, 0.3547614515, 0.0967457816
37, 18.984, 0.0773486495, 0.0023274939, 0.0001715840, 0.3755278289, 0.1023394316
38, 19.466, 0.0745598301, 0.0023134816, 0.0001530453, 0.3739405274, 0.0992251039
39, 19.948, 0.0791503340, 0.0022993395, 0.0001278406, 0.3838433623, 0.1034221351
40, 20.436, 0.0760989711, 0.0022864216, 0.0001103800, 0.3825929165, 0.1000669897
41, 21.015, 0.0755945295, 0.0022742492, 0.0000964435, 0.3832677603, 0.0993014574
42, 21.499, 0.0670263022, 0.0022628023, 0.0000832102, 0.3701145649, 0.0904864296
43, 21.979, 0.0782664493, 0.0022557860, 0.0000710958, 0.3749923706, 0.1015352681
44, 22.460, 0.0708685666, 0.0022510104, 0.0000582755, 0.3725075424, 0.0939614251
45, 22.942, 0.0647071302, 0.0022456294, 0.0000474400, 0.3617027998, 0.0876378268
46, 23.422, 0.0651348382, 0.0022378981, 0.0000401542, 0.3588119149, 0.0879153609
47, 23.900, 0.0699486658, 0.0022334217, 0.0000334884, 0.3823513687, 0.0926177651
48, 24.382, 0.0621443875, 0.0022310992, 0.0000285365, 0.3496887386, 0.0847407430
49, 24.865, 0.0604693219, 0.0022306445, 0.0000236599, 0.3780613840, 0.0830123648
50, 25.345, 0.0617405623, 0.0022329611, 0.0000204015, 0.3824539781, 0.0842741877
51, 25.826, 0.0610021725, 0.0022331106, 0.0000178363, 0.3703874648, 0.0835116431
52, 26.310, 0.0618701614, 0.0022310917, 0.0000173124, 0.3645681441, 0.0843541995
