epoch, time, loss1, loss2, loss3, loss4, total_loss
0, 0.744, 0.8254926205, 0.0000061109, 0.0001936571, 0.4098146856, 0.8256924152
1, 1.021, 0.6104243398, 0.0000076701, 0.0007542538, 0.3810678422, 0.6111862659
2, 1.199, 0.4551235139, 0.0001554333, 0.0009929321, 0.3613211513, 0.4562718570
3, 1.374, 0.4332065582, 0.0002900020, 0.0011974610, 0.3545773029, 0.4346940219
4, 1.545, 0.4006242454, 0.0003767322, 0.0013723059, 0.3557821810, 0.4023732841
5, 1.717, 0.3920868039, 0.0004561835, 0.0015242372, 0.3635653257, 0.3940672278
6, 1.891, 0.3428478241, 0.0005489129, 0.0016796029, 0.3654311895, 0.3450763226
7, 2.064, 0.3444160819, 0.0006483090, 0.0018555297, 0.3725143969, 0.3469199240
8, 2.240, 0.3009068072, 0.0007590927, 0.0020579330, 0.3688284755, 0.3037238419
9, 2.417, 0.2521378696, 0.0008703109, 0.0022463361, 0.3628876209, 0.2552545369
10, 2.590, 0.2680609524, 0.0009752305, 0.0024024942, 0.3649621010, 0.2714386582
11, 2.766, 0.2084062994, 0.0010785188, 0.0025535878, 0.3508502543, 0.2120383978
0, 4.342, 0.8717905283, 0.0000061133, 0.0001928248, 0.4126023948, 0.8719894886
12, 2.944, 0.2007229030, 0.0011831885, 0.0026972427, 0.3467302620, 0.2046033293
13, 3.119, 0.1894264817, 0.0012959663, 0.0028419583, 0.3462863266, 0.1935644150
14, 3.295, 0.1875654459, 0.0014165419, 0.0029933429, 0.3471296430, 0.1919753402
15, 3.560, 0.1688833535, 0.0015501764, 0.0031632129, 0.3432320356, 0.1735967547
16, 3.738, 0.1532097459, 0.0016955741, 0.0033557296, 0.3421240151, 0.1582610458
17, 3.915, 0.1573443115, 0.0018500376, 0.0035645762, 0.3464124203, 0.1627589315
18, 4.086, 0.1465380192, 0.0020164084, 0.0037976827, 0.3465965688, 0.1523521096
19, 4.262, 0.1300214231, 0.0021871007, 0.0040370608, 0.3438971043, 0.1362455934
1, 5.853, 0.7031169534, 0.0000070142, 0.0007570953, 0.4071520567, 0.7038810849
20, 4.439, 0.1215159595, 0.0023571481, 0.0042677126, 0.3436721861, 0.1281408221
21, 4.615, 0.1206998378, 0.0025265079, 0.0044911834, 0.3443950415, 0.1277175248
2, 6.202, 0.4729039073, 0.0001646383, 0.0010405793, 0.3868867755, 0.4741091132
22, 4.791, 0.1157345623, 0.0026939313, 0.0047068838, 0.3458975255, 0.1231353730
23, 4.968, 0.1118490770, 0.0028619973, 0.0049195117, 0.3440707624, 0.1196305901
3, 6.551, 0.4471922517, 0.0003227928, 0.0012940478, 0.3808440268, 0.4488090873
24, 5.145, 0.1019921973, 0.0030252184, 0.0051235855, 0.3409379423, 0.1101410016
25, 5.323, 0.1006613672, 0.0031844950, 0.0053183595, 0.3418185115, 0.1091642231
4, 6.886, 0.3763439059, 0.0004519186, 0.0015456557, 0.3605422676, 0.3783414960
26, 5.499, 0.0974290669, 0.0033423507, 0.0055080517, 0.3426326215, 0.1062794700
27, 5.670, 0.0951247066, 0.0034953270, 0.0056883441, 0.3431819081, 0.1043083817
5, 7.227, 0.3276318312, 0.0005436795, 0.0017219002, 0.3481543362, 0.3298974037
28, 5.849, 0.0935491398, 0.0036412093, 0.0058571436, 0.3409968615, 0.1030474901
29, 6.021, 0.0869918391, 0.0037792018, 0.0060141310, 0.3412681520, 0.0967851728
6, 7.580, 0.3037447929, 0.0006392675, 0.0019063191, 0.3438987136, 0.3062903583
30, 6.193, 0.0891438127, 0.0039102654, 0.0061611566, 0.3435527682, 0.0992152318
31, 6.366, 0.0863197595, 0.0040381546, 0.0063051409, 0.3429508507, 0.0966630578
7, 7.920, 0.2841246426, 0.0007552173, 0.0021352952, 0.3386807740, 0.2870151699
32, 6.537, 0.0798515975, 0.0041571273, 0.0064384341, 0.3426197171, 0.0904471576
33, 6.710, 0.0806886852, 0.0042702821, 0.0065655233, 0.3432967365, 0.0915244967
8, 8.256, 0.2637681663, 0.0008949126, 0.0024102307, 0.3418920040, 0.2670733035
34, 6.886, 0.0773633346, 0.0043739877, 0.0066828602, 0.3434626162, 0.0884201825
35, 7.063, 0.0763570592, 0.0044686641, 0.0067911381, 0.3433403969, 0.0876168609
9, 8.592, 0.2439843565, 0.0010501487, 0.0027219213, 0.3401563764, 0.2477564216
36, 7.234, 0.0736676306, 0.0045575807, 0.0068923500, 0.3421776295, 0.0851175636
37, 7.411, 0.0728772283, 0.0046427716, 0.0069872090, 0.3411631286, 0.0845072046
10, 8.928, 0.2370579243, 0.0012117662, 0.0030317402, 0.3431303799, 0.2413014323
38, 7.587, 0.0679592490, 0.0047242832, 0.0070749149, 0.3387064040, 0.0797584504
39, 7.765, 0.0704762563, 0.0048008631, 0.0071529727, 0.3402684927, 0.0824300945
11, 9.277, 0.2296510339, 0.0013740382, 0.0033305176, 0.3430340886, 0.2343555838
40, 7.941, 0.0677915066, 0.0048713717, 0.0072223339, 0.3419488072, 0.0798852071
41, 8.118, 0.0695414469, 0.0049359612, 0.0072851493, 0.3408325613, 0.0817625523
12, 9.610, 0.1920095980, 0.0015298149, 0.0036032277, 0.3380943835, 0.1971426457
42, 8.290, 0.0674989969, 0.0049956501, 0.0073419893, 0.3406102061, 0.0798366368
43, 8.467, 0.0654496998, 0.0050504119, 0.0073951031, 0.3403880000, 0.0778952166
13, 9.954, 0.1951256245, 0.0016792010, 0.0038478205, 0.3377678096, 0.2006526440
44, 8.643, 0.0650333762, 0.0051009511, 0.0074451352, 0.3407385349, 0.0775794610
45, 8.819, 0.0638263002, 0.0051467745, 0.0074917437, 0.3375704288, 0.0764648169
14, 10.298, 0.1571803838, 0.0018229736, 0.0040778867, 0.3307941258, 0.1630812436
46, 8.995, 0.0619403496, 0.0051899734, 0.0075350427, 0.3389313817, 0.0746653602
47, 9.171, 0.0611711778, 0.0052328100, 0.0075769010, 0.3381131291, 0.0739808828
15, 10.756, 0.1554210931, 0.0019580752, 0.0042874273, 0.3271683753, 0.1616665870
48, 9.347, 0.0623061508, 0.0052742013, 0.0076165670, 0.3398355544, 0.0751969144
49, 9.519, 0.0598840453, 0.0053157746, 0.0076554827, 0.3379272819, 0.0728553087
16, 11.097, 0.1497711837, 0.0020830438, 0.0044790022, 0.3255559206, 0.1563332379
50, 9.697, 0.0613491386, 0.0053546894, 0.0076902471, 0.3399799466, 0.0743940771
51, 9.876, 0.0588641465, 0.0053925314, 0.0077231913, 0.3378007412, 0.0719798654
17, 11.441, 0.1338894814, 0.0021982498, 0.0046528820, 0.3229624629, 0.1407406181
52, 10.054, 0.0583005212, 0.0054268306, 0.0077522253, 0.3375151455, 0.0714795738
53, 10.236, 0.0574879199, 0.0054583582, 0.0077783861, 0.3378585577, 0.0707246587
18, 11.791, 0.1282326430, 0.0023013682, 0.0048071793, 0.3233311176, 0.1353411824
54, 10.407, 0.0577849783, 0.0054889559, 0.0078035733, 0.3377244771, 0.0710775107
55, 10.578, 0.0566214249, 0.0055173170, 0.0078265397, 0.3367205858, 0.0699652806
19, 12.131, 0.1175366417, 0.0023976299, 0.0049486030, 0.3218166828, 0.1248828694
56, 10.750, 0.0545742400, 0.0055442005, 0.0078474088, 0.3358479440, 0.0679658502
57, 10.925, 0.0555092841, 0.0055710729, 0.0078672450, 0.3364362717, 0.0689476058
20, 12.477, 0.1162916720, 0.0024907347, 0.0050819227, 0.3226179779, 0.1238643304
58, 11.098, 0.0542081781, 0.0055979271, 0.0078855427, 0.3350421488, 0.0676916465
59, 11.270, 0.0554018505, 0.0056240740, 0.0079018334, 0.3386554718, 0.0689277574
21, 12.822, 0.1133524403, 0.0025806751, 0.0052102674, 0.3234331310, 0.1211433783
60, 11.442, 0.0539365038, 0.0056492989, 0.0079167308, 0.3391982615, 0.0675025359
