epoch, time, loss1, loss2, loss3, loss4, total_loss
0, 2.273, 0.8614876270, 0.0000420174, 0.0007598019, 0.4524325728, 0.8622894287
1, 3.240, 0.7976879478, 0.0002600218, 0.0084311385, 0.4546657503, 0.8063790798
2, 3.292, 0.7506631613, 0.0014402877, 0.0090455497, 0.4490706325, 0.7611489892
3, 3.344, 0.5586023927, 0.0035505875, 0.0124870017, 0.4325797558, 0.5746399760
4, 3.388, 0.5369383097, 0.0056075966, 0.0165898409, 0.4387403727, 0.5591357350
5, 3.440, 0.5086495876, 0.0071614902, 0.0195002314, 0.4405497015, 0.5353113413
6, 3.490, 0.4753637314, 0.0084023848, 0.0214994997, 0.4428811967, 0.5052655935
7, 3.538, 0.4683021307, 0.0093393493, 0.0224503838, 0.4418286681, 0.5000918508
8, 3.586, 0.4274721146, 0.0100580864, 0.0227468442, 0.4521502554, 0.4602770209
9, 3.633, 0.4006518126, 0.0107673174, 0.0231600478, 0.4495749772, 0.4345791638
10, 3.685, 0.3800922334, 0.0113400444, 0.0233894661, 0.4445931017, 0.4148217440
11, 3.743, 0.3768092990, 0.0117888460, 0.0233632997, 0.4709898829, 0.4119614363
12, 3.799, 0.3803105652, 0.0122772017, 0.0232707746, 0.4796546698, 0.4158585668
13, 3.854, 0.3541975319, 0.0126683591, 0.0229230449, 0.4673058093, 0.3897889555
14, 3.908, 0.2947059572, 0.0128916539, 0.0219660271, 0.4611158073, 0.3295636475
15, 3.964, 0.3079206049, 0.0130990678, 0.0212715250, 0.4686666727, 0.3422912061
16, 4.024, 0.2633457482, 0.0132724671, 0.0206994731, 0.4586860836, 0.2973176837
17, 4.076, 0.2908842266, 0.0136981485, 0.0212418362, 0.4681137204, 0.3258242309
18, 4.128, 0.2882116735, 0.0135606350, 0.0200096201, 0.4875568449, 0.3217819035
19, 4.185, 0.2484635860, 0.0135680046, 0.0197592601, 0.4794520140, 0.2817908525
20, 4.240, 0.2363730967, 0.0136889834, 0.0199281815, 0.4698416889, 0.2699902654
21, 4.292, 0.2100902498, 0.0135155190, 0.0187524632, 0.4606382549, 0.2423582375
22, 4.344, 0.2183048874, 0.0132448124, 0.0173262004, 0.4743643105, 0.2488759011
23, 4.398, 0.1973245144, 0.0132927718, 0.0172871519, 0.4722912610, 0.2279044390
24, 4.455, 0.1956030130, 0.0133731859, 0.0175993424, 0.4823191464, 0.2265755385
25, 4.512, 0.1953880042, 0.0128957843, 0.0152613679, 0.4908280671, 0.2235451490
26, 4.564, 0.1812022328, 0.0131239705, 0.0160262194, 0.4824326336, 0.2103524208
27, 4.620, 0.1749242246, 0.0129957478, 0.0151531855, 0.4928703904, 0.2030731589
28, 4.672, 0.1671372652, 0.0124976803, 0.0129013015, 0.4879086614, 0.1925362498
29, 4.722, 0.1645693779, 0.0127946483, 0.0138249910, 0.4931762815, 0.1911890060
30, 4.771, 0.1526678056, 0.0126784099, 0.0130685847, 0.4898073077, 0.1784148067
31, 4.824, 0.1478351802, 0.0124437856, 0.0117100487, 0.4801411927, 0.1719890088
32, 4.875, 0.1628282219, 0.0124116018, 0.0112028122, 0.4922266901, 0.1864426434
33, 4.927, 0.1308268905, 0.0121206287, 0.0097164726, 0.4886324704, 0.1526639909
34, 4.983, 0.1360328943, 0.0124328099, 0.0106933936, 0.4935223460, 0.1591590941
35, 5.039, 0.1294273287, 0.0123417862, 0.0098808715, 0.4821456373, 0.1516499817
36, 5.094, 0.1320030987, 0.0115722427, 0.0067952587, 0.4901362658, 0.1503705978
37, 5.140, 0.1210130230, 0.0116625139, 0.0067004720, 0.4736577272, 0.1393760145
38, 5.198, 0.1222130880, 0.0119593963, 0.0075529264, 0.4923621118, 0.1417254061
39, 5.254, 0.1138407588, 0.0118468357, 0.0068816813, 0.4774092734, 0.1325692832
40, 5.304, 0.1197539121, 0.0113139637, 0.0049559167, 0.4808326662, 0.1360237896
41, 5.360, 0.1125096679, 0.0110071274, 0.0040361793, 0.4686200023, 0.1275529712
42, 5.416, 0.1119162515, 0.0109916190, 0.0039122188, 0.4785237908, 0.1268200874
43, 5.471, 0.1100767925, 0.0110417269, 0.0040841005, 0.4800527692, 0.1252026111
44, 5.524, 0.1105241328, 0.0108608259, 0.0036523445, 0.4736845791, 0.1250372976
45, 5.576, 0.1058505028, 0.0106843049, 0.0032260709, 0.4693698585, 0.1197608784
46, 5.627, 0.1094380692, 0.0107223960, 0.0032357944, 0.4914832413, 0.1233962625
47, 5.679, 0.1126705408, 0.0105934376, 0.0028228704, 0.4831824601, 0.1260868460
48, 5.733, 0.1042120010, 0.0107332412, 0.0029775754, 0.4815381467, 0.1179228127
49, 5.782, 0.0967837349, 0.0108336331, 0.0029982412, 0.4638555050, 0.1106156111
50, 5.835, 0.0939676091, 0.0107804034, 0.0026364794, 0.4731878042, 0.1073844880
